SNO	Code	Name	Description
80028	barbarian_hammeroftheancients	Hammer of the Ancients	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Fury<br><br>Call down a mystical hammer and smash groups of enemies.
79528	barbarian_ignorepain	Ignore Pain	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 15}{/c_green} seconds<br><br>Your rage protects you from most damage for {c_green}{Script Formula 12}{/c_green} seconds.
93409	barbarian_leap	Leap	{c_gold}Generate:{/c} {c_green}{Resource Gained On First Hit}{/c} Fury<br>{c_gold}Cooldown:{/c} {c_green}{Cooldown Time}{/c} seconds<br><br>Leap towards enemies and attack them.
30097	barbarian_leap_old	Leap Attack	The Barbarian makes a mighty leap, causing {Physical Damage Min} damage to enemies nearby when he lands. Damage of Leap Attack increases with Strength.<br><br>Costs {Resource Cost} Fury
159169	barbarian_overpower	Overpower	{c_gold}Cooldown:{/c_gold} {c_green}[{Script Formula 27}]{/c_green} seconds<br><br>Unleash a devastating attack against nearby enemies.<br><br>{c_yellow}The cooldown of Overpower is reduced when you land Critical Hits.{/c_yellow}
368239	barbarian_overpower_cowking	Overpower	{c_gold}Cooldown:{/c_gold} {c_green}[{Script Formula 27}]{/c_green} seconds<br><br>Deal {c_green}[{Script Formula 6}*100]%{/c_green} weapon damage to all targets within {c_green}{Script Formula 7}{/c_green} yards.<br><br>{c_yellow}Critical Hits have a chance to reduce the cooldown of Overpower by {c_green}{Script Formula 0}{/c_green} second.{/c_yellow}
205228	barbarian_passive_animosity	Animosity	"While most orders teach the merits of calming the seas of the soul, the guardians of Arreat have embraced the raging inner storm." —Chronicler Arlavoc
205187	barbarian_passive_berserkerrage	Berserker Rage	"You wouldn't like me when I'm angry." —Bannar the Berserker
205217	barbarian_passive_bloodthirst	Bloodthirst	"Compassion is weakness. To press the advantage when an opponent calls for mercy is the way of true power." —Halaberd the Conqueror
204603	barbarian_passive_boonofbulkathos	Boon of Bul-Kathos	The aid of the Immortal King shall come to those who have earned it.
205133	barbarian_passive_brawler	Brawler	"I have two blades, one for each of you." —Blademaster Kharne
205546	barbarian_passive_inspiringpresence	Inspiring Presence	"The enemy poured through the gap until Warmaster Karja impaled three demons at once on our battle standard, tossing their corpses into the fray below as she roared a rallying call from high atop the battlements." —The Battle of the Starless Night
205707	barbarian_passive_juggernaut	Juggernaut	"I swear to you, we put a dozen arrows into him and he just stood back up. These so-called barbarians, these madmen of the north—there is no stopping them." —Soldier of Bastion's Keep
217819	barbarian_passive_nervesofsteel	Nerves of Steel	"The trials begin with childhood; skinning ferocious beasts, climbing windswept cliffs and carrying weapons heavy enough to make a southern soldier weep. Is it any wonder that they never give ground?" —Sir Aric of Duncraig
204725	barbarian_passive_noescape	No Escape	"Run if you must, but you'll only die tired." —Ooron Goons
205205	barbarian_passive_poundofflesh	Pound of Flesh	"When the sky bleeds, the crops grow tall. When our enemies bleed, we grow strong." —Chant of the Harvest
205398	barbarian_passive_relentless	Relentless	No matter the odds, some warriors simply refuse to fall.
205175	barbarian_passive_ruthless	Ruthless	The clans each paint their warriors in their own unique way. Some celebrate the mountain, others honor the fire, but the Targos clan worships the purifying virtue of pain.
205491	barbarian_passive_superstition	Superstition	"The sorcery of the west has brought us nothing but blight. Strength built these walls, and strength will hold them." —Gruchac Hammerhand
205848	barbarian_passive_toughasnails	Tough as Nails	After a while the scars serve as their own layer of armor.
205300	barbarian_passive_unforgiving	Unforgiving	"It was as if he suddenly came to know every grievous injury endured by his ancestors, and he had selected that very moment to exact their collective revenge." —Chronicler Arlavoc
206147	barbarian_passive_weaponsmaster	Weapons Master	"My men ambushed the traveler in the woods, but it was we who were surprised. Such keen senses, swift motions, flawless strikes. We never stood a chance." —Redjack the Bandit
70472	barbarian_rend	Rend	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Fury<br><br>Wound nearby enemies and cause them to Bleed for {c_green}{Script Formula 15}{/c_green} seconds.
109342	barbarian_revenge	Revenge	{c_gold}Cost: {/c_gold}{c_green}1{/c_green} charge<br><br>Release a retaliatory attack that heals you with each enemy hit.<br><br>{c_yellow}Revenge has a chance to gain a charge when you are hit. Maximum {c_green}{Script Formula 19}{/c_green} charges.{/c_yellow}
109344	barbarian_revenge_buff	Revenge Buff	Revenge has a [{Revenge Proc Chance On Get Hit} * 100]% chance to be usable when hit by an enemy.<br><br>Smash the ground dealing [PowerTag.Barbarian_Revenge."Base Damage Scalar" * 100]% weapon damage to all nearby monsters. You gain [PowerTag.Barbarian_Revenge."Revenge Health Percent Per Hit"*100]% of your maximum health for each enemy hit.
86989	barbarian_seismicslam	Seismic Slam	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 16}{/c_green} Fury<br><br>Create shockwaves that damage enemies in their path.
78551	barbarian_sprint	Sprint	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Fury<br><br>Run furiously fast for {c_green}{Script Formula 3}{/c_green} seconds.
79077	barbarian_threateningshout	Threatening Shout	{c_gold}Generate:{/c_gold} {c_green}{Script Formula 13}{/c_green} Fury<br>{c_gold}Cooldown:{/c_gold} {c_green}{Cooldown Time}{/c_green} seconds<br><br>Strike fear in your enemies and make their attacks do less damage.
96296	barbarian_whirlwind	Whirlwind	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 14}{/c_green} Fury<br><br>Unleash a series of whirling attacks damaging everything in your path.
79607	barbarian_wrathoftheberserker	Wrath of the Berserker	{c_gold}Cooldown:{/c_gold} {c_green}[{Script Formula 7}]{/c_green} seconds<br><br>Become Fury incarnate for {c_green}{Script Formula 6}{/c_green} seconds.
30145	barehandedpassive		
1736	barrel_explode_instant		
109289	beast_weapon_melee_instant	Melee Attack	This is your skill at close-range combat.
30147	beastcharge		
67753	belial_ground_pound		
95856	belial_lightningbreath	Disintegrate v2	Emanate a beam of pure energy dealing [{Arcane Damage Min} / {Disintegrate Time Between Updates}] Arcane damage per second. Damage is modified to [({Disintegrate Beam Strength Reduction Per Target})* 100]% each time the beam passes through a target.<br><br>Costs {c_green}[{Resource Cost} / {Disintegrate Time Between Updates}]{/c_green} Arcanum per second.
241757	belial_lightningstrike_enrage	Belial Lightning Strike Enrage	
96212	belial_lightningstrike_v2	Disintegrate v2	
96712	belial_melee		
156429	belial_melee_reach		
95811	belial_phase3buff	Belial Phase 3 Buff	
63079	belial_ranged_attack	Belial Ranged Attack	
98565	belial_sprint		
105312	belial_sprint_away		
259123	belialarmproxy		
149875	bigred_charge		
150552	bigred_firebreath	Big Red Fire Breath	This is your skill at close-range combat.
355392	blockchance_10		
131193	bodyguard_teleport		
72675	brickhouse_armshields		
180875	brickhouse_destructionsetup		
72713	brickhouse_enrage		
72812	brickhouse_slam		
255336	bugwingsbuff		
30156	burrowin		
194582	burrowinhidden		
69949	burrowinsetup		
327086	burrowinsetup2hswing		
346610	burrowinsetuphidden		
327088	burrowinsetupstaff		
30157	burrowout		
75226	burrowout_nofacing		
194596	burrowoutsetup		
30158	burrowstartbuff		
86627	butcher_damagingfire		
96925	butcher_floorpanelfire	Floor Panel Fire	
85001	butcher_frenzy		
364220	butcher_frenzy_custom_lr_boss		
83008	butcher_grapplinghook		
209203	butcher_ondeath		
85152	butcher_slam		
30160	butcher_smash		
198671	butcher_spears	Butcher Spears	Throw a spear up to {c_green}{Script Formula 2}{/c_green} yards to pull an enemy back to the Barbarian, slowing target's movement speed and dealing {c_green}[{Script Formula 0}*100]%{/c_green} weapon damage.<br><br>Generates: {c_green}{Script Formula 12}{/c_green} Fury<br>Cooldown: {c_green}{Cooldown Time}{/c_green} seconds
109153	butcher_target_ranged		
102449	cain_intro_swing	Melee Attack	This is your skill at close-range combat.
156211	caldeum_poisonlaser		
91155	calldowngrenade	Call Catapult Strike	Tell Jimmy the Spotter where to call down a catapult attack.
134225	callout_cooldown		
151595	camera_focus_buff		
151604	camera_focus_pet_buff		
225599	cannotdieduringbuff		
396376	caout_boneyards_collapsing_bones_damage	trDun_Cath_WallCollapse_Damage	
102874	caout_oasis_attack_plant_attack		
108036	catapultattack	Grenades	Throw out three grenades that explode in {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] damage.
30166	championclone		
30167	championteleport		
132695	charmed_weapon_melee_instant	Melee Attack	This is your skill at close-range combat.
208706	collectorseditionbuff	Collectors Edition Buff	
370781	community_event_buff_expmf		
275399	companionbuff		
300082	console_powerglobe	Power Globe	[ph]You are empowered
30176	cooldown		
91052	copiedvisualeffectsbuff		
134816	coreelite_droppod	Drop Pod Impact	
136455	coreelite_droppod_begin	Drop Pod Warning	
134815	coreelitepodsetup		
30178	corpulentexplode		
123639	corruptangel_piercingdash		
122978	corruptangel_spectralstrike		
72366	creepmob_creeper_attack		
71646	creepmob_knockback		
376935	creepmob_knockback_lr		
71688	creepmob_ranged_arm_attack		
30180	critdebuffcold		
1738	cryptchildeat		
30185	cryptchildleapout		
30186	cryptchildleapoutbuff		
86152	damageattribute		
228423	debuffbleed	Bleed	
103216	debuffblind		
311910	debuffcharmed		
30195	debuffchilled		
101002	debufffeared		
312061	debufffiredamageproc	Burning	
312799	debuffforcegripped		
312062	debuffpoisondamageproc	Poison	
101003	debuffrooted		
100971	debuffslowed		
101000	debuffstunned		
346635	deleteselfanim		
132940	demonflyer_dropbomb		
155188	demonflyer_firebreath	Big Red Fire Breath	This is your skill at close-range combat.
130798	demonflyer_projectile		
121326	demonflyer_snatch	Demon Flyer	
77552	demonhunter_bolas	Bolas	{c_gold}Generate:{/c} {c_green}{Script Formula 15}{/c} Hatred<br><br>Fire a bola that wraps around an enemy and explodes.
129216	demonhunter_caltrops	Caltrops	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 8}{/c_green} Discipline<br><br>Place a trap that slows enemies.
129213	demonhunter_chakram	Chakram	{c_gold}Cost:{/c} {c_green}{Resource Cost}{/c} Hatred<br><br>Release a spinning blade of death that slices through enemies.
129214	demonhunter_clusterarrow	Cluster Arrow	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 3}{/c_green} Hatred<br><br>Fire a cluster arrow that fragments into grenades on impact.
131325	demonhunter_elementalarrow	Elemental Arrow	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Hatred<br><br>Unleash a fiery arrow that pierces through enemies.
134280	demonhunter_evasivefire_flip	Evasive Fire Flip	Tumble acrobatically {c_green}{Script Formula 0} yards{/c_green}.<br><br>Costs: {c_green}{Resource Cost}{/c_green} Mana
77546	demonhunter_fanofknives	Fan of Knives	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 26}{/c_green} seconds<br><br>Unleash a flurry of knives that strike and Slow all nearby enemies.
86610	demonhunter_grenades	Grenade	{c_gold}Generate:{/c} {c_green}{Script Formula 19}{/c} Hatred<br><br>Throw a grenade that bounces and explodes.
129215	demonhunter_hungeringarrow	Hungering Arrow	{c_gold}Generate:{/c} {c_green}{Script Formula 20}{/c} Hatred<br><br>Fire a piercing arrow that seeks additional enemies.
131366	demonhunter_impale	Impale	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Hatred<br><br>Throw a knife that impales enemies.
130738	demonhunter_markedfordeath	Marked for Death	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Discipline<br><br>Mark an enemy to take additional damage from attacks.
77649	demonhunter_multishot	Multishot	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 13}{/c_green} Hatred<br><br>Fire a massive volley of arrows in an arc.
209734	demonhunter_passive_archery	Archery	"Feel the weight of the crossbow in your hand. Now... the wind, the distance, the target's speed. Good. Now try it with blood in your eyes and a demon at your throat." —Greyscarr, Veteran Demon Hunter
155723	demonhunter_passive_ballistics	Ballistics	"How should I know who first invented these devices? Just make sure the correct end is pointed at the enemy and they'll do the rest." —Greyscarr, Veteran Demon Hunter
210801	demonhunter_passive_brooding	Brooding	Never forget where you came from.
155721	demonhunter_passive_culltheweak	Cull the Weak	"I'll show you the same mercy you showed my helpless family." —Tyla Shrikewing
208610	demonhunter_passive_customengineering	Custom Engineering	The self-loading mechanisms built into most hand crossbows and traps are delicate and difficult to maintain. Extensive practice is required to use them properly.
208779	demonhunter_passive_grenadier	Grenadier	"Do not construct these devices by candlelight, nor by firelight. Once armed, be no closer than ten paces upon the count of three." —Explicit instructions from Quang the Chemist
155725	demonhunter_passive_hotpursuit	Hot Pursuit	"Don't make me chase you back to Hell, vermin. I know a quicker way to send you there." —Tyla Shrikewing
218350	demonhunter_passive_nightstalker	Night Stalker	"How did I learn to hate, to kill, to flay the flesh from the bones of my prey without pity? You taught me." —Tyla Shrikewing's final words to Naragh the Sin Eater
218398	demonhunter_passive_numbingtraps	Numbing Traps	"Demonic anatomy is strange and diverse. At times they defy sanity, but in other ways they are just as vulnerable as we are." —Meditations on the Enemy
155722	demonhunter_passive_perfectionist	Perfectionist	Once the trap is sprung you must not relent until every last enemy has fallen. To hesitate is to invite disaster.
155715	demonhunter_passive_sharpshooter	Sharpshooter	"Every creature has a vulnerability. Find it, and put an arrow in it." —Greyscarr, Veteran Demon Hunter
164363	demonhunter_passive_steadyaim	Steady Aim	"Flee if you can, demon. I have a quiver full of friends who fly faster than you." —Tyla Shrikewing
218385	demonhunter_passive_tacticaladvantage	Tactical Advantage	Never start a fair fight.
211225	demonhunter_passive_thrillofthehunt	Thrill of the Hunt	"The first three were dead before they hit the ground. The others weren't so lucky." —Captain Rumford
155714	demonhunter_passive_vengeance	Blood Vengeance	"If it bleeds you can kill it. Kill this one slowly." —Greyscarr, Veteran Demon Hunter
129212	demonhunter_preparation	Preparation	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 3}{/c_green} seconds<br><br>Focus and instantly restore {c_green}{Script Formula 8}{/c_green} Discipline.
324845	demonhunter_preparation_passive	Preparation	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 3}{/c_green} seconds<br><br>Instantly restore {c_green}{Script Formula 8}{/c_green} Discipline.
130831	demonhunter_rainofvengeance	Rain of Vengeance	{c_gold}Cooldown:{/c_gold} {c_green}{Cooldown Time}{/c_green} seconds<br><br>Unleash a torrent of arrows from the sky.
131192	demonhunter_rapidfire	Rapid Fire	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 4}{/c_green} Hatred initially, and an additional {c_green}[{Script Formula 17}]{/c_green} Hatred while channeling<br><br>Hold your ground and continually fire a stream of arrows.
129217	demonhunter_sentry	Sentry	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Hatred<br>{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 23}{/c_green} seconds<br><br>Summon a turret that automatically attacks nearby enemies.
129661	demonhunter_sentry_turretattack	Sentry Turret Attack	
130830	demonhunter_shadowpower	Shadow Power	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 6}{/c_green} Discipline<br><br>Gain Life for dealing damage for {c_green}[{Script Formula 0}]{/c_green} seconds.
130695	demonhunter_smokescreen	Smoke Screen	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 13}{/c_green} Discipline<br>{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 9}{/c_green} seconds<br><br>Vanish from sight for a limited time.
75301	demonhunter_spiketrap	Spike Trap	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Hatred<br><br>A deadly trap that explodes on contact once armed.
134030	demonhunter_strafe	Strafe	{c_gold}Cost:{/c_gold} {c_green}[{Script Formula 16} + ({Script Formula 15} * {Script Formula 0})]{/c_green} Hatred<br><br>Shoot at nearby enemies while moving.
111215	demonhunter_vault	Vault	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 5}{/c_green} Discipline<br><br>Tumble acrobatically to avoid attacks.
143198	demontrooperleapout		
30207	dervish_whirlwind		
256026	dervish_whirlwind_mortar_prototype		
152865	despair_melee_cleave	Despair Cleave	
241778	despair_melee_cleaveenrage		
150486	despair_summonminion	Despair Summon Minion	
149911	despair_teleport	Despair Teleport	
209700	despair_teleport_away	Despair Teleport	
152866	despair_volley	Despair Volley	
366277	despair_volley_lr_boss	Despair Volley	
30208	destructableobjectaoe		
30209	destructableobjectchandelier_aoe		
358809	destructableobjectchandelier_aoe_hoist		
368174	destructionstreak_buff_run_speed		
133887	dh_companion_chargeattack	Companion Charge Attack	Charges a target, dealing [{Script Formula 0}*100]% weapon damage and stunning it for {Script Formula 4} second.
227240	dh_companion_meleeattack	Companion Attack	Charges a target, dealing [{Script Formula 0}*100]% weapon damage and stunning it for {Script Formula 4} second.
150075	dh_rainofarrows_shadowbeast_bombdrop		
195816	diablo_charge	Shadow Vanish	
136189	diablo_clawrip	Claw Rip	
375905	diablo_clawrip_uber	Claw Rip	
161174	diablo_corruptionshield	Claw Rip	
136828	diablo_curseofanguish	Curse Of Anguish	
136831	diablo_curseofdestruction	Curse Of Destruction	
136830	diablo_curseofhate	Curse Of Hate	
136829	diablo_curseofpain	Curse Of Pain	
185997	diablo_expandingfirering	Expanding Fire Ring	
375908	diablo_expandingfirering_uber	Expanding Fire Ring	
214831	diablo_firemeteor	Diablo Meteor Call	Throw out three grenades that explode in {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] damage.
214668	diablo_gethit		
136226	diablo_hellspikes	Hell Spikes	
136219	diablo_lightningbreath	Lightning Breath	
375904	diablo_lightningbreath_uber	Lightning Breath	
167560	diablo_lightningbreath_v2	Lightning Breath	
141865	diablo_phase1buff		
136850	diablo_phase2buff		
136852	diablo_phase3buff		
136223	diablo_ringoffire	Ring Of Fire	
375907	diablo_ringoffire_uber	Ring Of Fire	
136281	diablo_shadowclones	Shadow Clones	
136237	diablo_shadowvanish	Shadow Vanish	
142582	diablo_shadowvanish_charge	Shadow Vanish	
136849	diablo_shadowvanish_grab	Shadow Vanish	
169212	diablo_smash_puny_destructible	Cage Smash	
199476	diablo_stompandstun	Expanding Fire Ring	
219598	diablo_teleport	Diablo Teleport	
360319	disablegethitbuff_infinite		
340708	disablepowerbuff_infinite		
95701	dotdebuff		
30211	drinkhealthpotion		
335158	dualwield_scripted		
335253	dualwield_scripted_remove		
193438	dualwieldbuff	Dual Wield Buff	
270058	duelbuff		
275135	dueldefeatbuff		
30214	eatcorpse		
57932	electriceel_electricburst		
59836	electriceelleapout		
188254	emoteattack		
185085	emotebye		
384214	emotedance		
185087	emotedie		
185042	emotefollow		
185081	emotegive		
185629	emotego		
185093	emotehelp		
188256	emotehold		
188258	emotelaugh		
188252	emoteno		
188255	emoteretreat		
185598	emoterun		
185083	emotesorry		
188253	emotestay		
188257	emotetakeobjective		
185082	emotethanks		
185600	emotewait		
188251	emoteyes		
102057	enchantress_charm	Charm	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 0}{/c_green} seconds<br><br>Temporarily Charms an enemy to fight for you.
84469	enchantress_cripple	Cripple	Slows target 50% for 3 seconds and weak damage over time
101990	enchantress_disorient	Disorient	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 0}{/c_green} seconds<br><br>Disorients enemies for a short time.
101425	enchantress_focusedmind	Focused Mind	An aura that increases attack speed for you and the Enchantress.
101969	enchantress_forcefulpush	Forceful Push	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 7}{/c_green} seconds<br><br>Creates an explosion that deals massive damage and knocks back enemies.
201524	enchantress_masscharm	Mass Control	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 7}{/c_green} seconds<br><br>Hexes a nearby group of enemies.
230238	enchantress_melee_instant	Melee Attack	Swing your melee weapon for {c_green}{DamageMin} - {DamageMax}{/c} damage.
257687	enchantress_missileward	Missile Ward	Reduces damage from ranged attacks for you and the Enchantress.
101461	enchantress_poweredarmor	Powered Armor	Increases Armor and slows melee attackers for you and the Enchantress.
186200	enchantress_runaway		
220872	enchantress_scorchedearth	Erosion	{c_gold}Cooldown:{/c_gold} {c_green}{Script Formula 10}{/c_green} seconds<br><br>Conjures a pool of energy that deals damage and causes affected enemies to take additional damage.
201538	enterrecallportal	Stone Of Recall	This is your skill at close-range combat.
200036	enterstoneofrecall	Stone Of Recall	This is your skill at close-range combat.
391680	environmentkill_buff_resource_regen	Trap Mastery	
86241	escortingbuff		
201570	exitrecallportal	Stone Of Recall	This is your skill at close-range combat.
200039	exitstoneofrecall	Stone Of Recall	This is your skill at close-range combat.
