//sno	rune index	damage_type	weapdmg%	dotseconds	resourcecost	cooldown	power	rune
79528	4	-1	-1	-1	-1	30	Barbarian_IgnorePain	Bravado
79528	5	-1	-1	-1	-1	30	Barbarian_IgnorePain	Ignorance is Bliss
93409	0	0	180	-1	-1	10	Barbarian_Leap	No Rune
93409	1	0	180	-1	-1	10	Barbarian_Leap	Call of Arreat
93409	2	0	450	-1	-1	10	Barbarian_Leap	Toppling Impact
93409	3	0	180	-1	-1	10	Barbarian_Leap	Launch
93409	4	0	180	-1	-1	10	Barbarian_Leap	Iron Impact
93409	5	0	180	-1	-1	10	Barbarian_Leap	Death from Above
159169	0	0	380	-1	-1	12	Barbarian_Overpower	No Rune
159169	1	2	380	-1	-1	12	Barbarian_Overpower	Killing Spree
159169	2	0	380	-1	-1	12	Barbarian_Overpower	Storm of Steel
159169	3	1	760	-1	-1	12	Barbarian_Overpower	Revel
159169	4	0	380	-1	-1	12	Barbarian_Overpower	Momentum
159169	5	3	380	-1	-1	12	Barbarian_Overpower	Crushing Advance
70472	0	0	1100	5	20	-1	Barbarian_Rend	No Rune
70472	1	2	1350	5	20	-1	Barbarian_Rend	Lacerate
70472	2	1	1100	5	20	-1	Barbarian_Rend	Ravage
70472	3	3	1100	5	20	-1	Barbarian_Rend	Mutilate
70472	4	0	1100	5	20	-1	Barbarian_Rend	Blood Lust
70472	5	0	1100	5	20	-1	Barbarian_Rend	Bloodbath
109342	0	0	300	-1	-1	-1	Barbarian_Revenge	No Rune
109342	1	1	700	-1	-1	-1	Barbarian_Revenge	Retribution
109342	2	0	300	-1	-1	-1	Barbarian_Revenge	Provocation
109342	3	2	300	-1	-1	-1	Barbarian_Revenge	Grudge
109342	4	0	300	-1	-1	-1	Barbarian_Revenge	Blood Law
109342	5	3	300	-1	-1	-1	Barbarian_Revenge	Best Served Cold
86989	0	0	620	-1	30	-1	Barbarian_SeismicSlam	No Rune
86989	1	1	735	-1	30	-1	Barbarian_SeismicSlam	Shattered Ground
86989	2	0	550	-1	30	-1	Barbarian_SeismicSlam	Rumble
86989	3	2	550	-1	30	-1	Barbarian_SeismicSlam	Stagger
86989	4	0	550	-1	30	-1	Barbarian_SeismicSlam	Strength from Earth
86989	5	3	750	-1	30	-1	Barbarian_SeismicSlam	Permafrost
78551	0	-1	-1	-1	20	-1	Barbarian_Sprint	No Rune
78551	1	-1	-1	-1	20	-1	Barbarian_Sprint	Marathon
78551	2	-1	-1	-1	20	-1	Barbarian_Sprint	Rush
78551	3	0	60	3	20	-1	Barbarian_Sprint	Run Like the Wind
78551	4	-1	-1	-1	20	-1	Barbarian_Sprint	Forced March
78551	5	0	25	-1	20	-1	Barbarian_Sprint	Gangway
79077	0	-1	-1	-1	-1	10	Barbarian_ThreateningShout	No Rune
79077	1	-1	-1	-1	-1	10	Barbarian_ThreateningShout	Demoralize
79077	2	-1	-1	-1	-1	10	Barbarian_ThreateningShout	Intimidate
79077	3	-1	-1	-1	-1	10	Barbarian_ThreateningShout	Grim Harvest
79077	4	-1	-1	-1	-1	10	Barbarian_ThreateningShout	Falter
79077	5	-1	-1	-1	-1	10	Barbarian_ThreateningShout	Terrify
96296	0	0	340	-1	10	-1	Barbarian_Whirlwind	No Rune
96296	1	1	325	-1	10	-1	Barbarian_Whirlwind	Volcanic Eruption
96296	2	0	340	-1	10	-1	Barbarian_Whirlwind	Dust Devils
96296	3	3	340	-1	10	-1	Barbarian_Whirlwind	Hurricane
96296	4	2	340	-1	10	-1	Barbarian_Whirlwind	Wind Shear
96296	5	0	340	-1	10	-1	Barbarian_Whirlwind	Blood Funnel
79607	0	-1	-1	-1	-1	120	Barbarian_WrathOfTheBerserker	No Rune
79607	1	-1	-1	-1	-1	120	Barbarian_WrathOfTheBerserker	Insanity
79607	2	1	3400	-1	-1	120	Barbarian_WrathOfTheBerserker	Arreat's Wail
79607	3	-1	-1	-1	-1	120	Barbarian_WrathOfTheBerserker	Striding Giant
79607	4	-1	-1	-1	-1	120	Barbarian_WrathOfTheBerserker	Thrive on Chaos
79607	5	-1	-1	-1	-1	120	Barbarian_WrathOfTheBerserker	Slaughter
377453	0	0	500	-1	25	-1	Barbarian_AncientSpear	No Rune
377453	1	0	500	-1	25	-1	Barbarian_AncientSpear	Harpoon
377453	2	0	500	-1	25	-1	Barbarian_AncientSpear	Boulder Toss
377453	3	1	640	-1	25	-1	Barbarian_AncientSpear	Jagged Edge
377453	4	0	500	-1	25	-1	Barbarian_AncientSpear	Ranseur
377453	5	0	500	-1	25	-1	Barbarian_AncientSpear	Rage Flip
353447	0	0	1600	-1	-1	30	Barbarian_Avalanche_v2	No Rune
353447	1	3	1600	-1	-1	30	Barbarian_Avalanche_v2	Glacier
353447	2	3	1800	-1	-1	30	Barbarian_Avalanche_v2	Snow-Capped Mountain
353447	3	1	4400	5	-1	30	Barbarian_Avalanche_v2	Volcano
353447	4	0	1600	-1	-1	30	Barbarian_Avalanche_v2	Lahar
353447	5	0	1600	-1	-1	30	Barbarian_Avalanche_v2	Tectonic Rift
375483	0	-1	-1	-1	-1	20	Barbarian_WarCry_v2	No Rune
375483	1	-1	-1	-1	-1	20	Barbarian_WarCry_v2	Hardened Wrath
375483	2	-1	-1	-1	-1	20	Barbarian_WarCry_v2	Veteran's Warning
375483	3	-1	-1	-1	-1	20	Barbarian_WarCry_v2	Impunity
375483	4	-1	-1	-1	-1	20	Barbarian_WarCry_v2	Charge!
375483	5	-1	-1	-1	-1	20	Barbarian_WarCry_v2	Invigorate
377452	0	0	185	-1	-1	-1	Barbarian_WeaponThrow	No Rune
377452	1	2	270	-1	-1	-1	Barbarian_WeaponThrow	Mighty Throw
377452	2	1	185	-1	-1	-1	Barbarian_WeaponThrow	Ricochet
377452	3	0	185	-1	-1	-1	Barbarian_WeaponThrow	Throwing Hammer
377452	4	1	185	-1	-1	-1	Barbarian_WeaponThrow	Balanced Weapon
377452	5	0	185	-1	-1	-1	Barbarian_WeaponThrow	Stupefy
269032	0	-1	-1	-1	-1	90	Crusader_AkaratsChampion	No Rune
269032	1	1	100	-1	-1	90	Crusader_AkaratsChampion	Fire Starter
269032	2	-1	-1	-1	-1	90	Crusader_AkaratsChampion	Embodiment of Power
269032	3	-1	-1	-1	-1	90	Crusader_AkaratsChampion	Rally
269032	4	-1	-1	-1	-1	90	Crusader_AkaratsChampion	Prophet
269032	5	-1	-1	-1	-1	90	Crusader_AkaratsChampion	Hasteful
266766	0	6	320	-1	10	-1	Crusader_BlessedHammer	No Rune
266766	1	1	320	-1	10	-1	Crusader_BlessedHammer	Burning Wrath
266766	2	2	320	-1	10	-1	Crusader_BlessedHammer	Thunderstruck
266766	3	6	320	-1	10	-1	Crusader_BlessedHammer	Limitless
266766	4	3	460	-1	10	-1	Crusader_BlessedHammer	Icebound Hammer
266766	5	6	320	-1	10	-1	Crusader_BlessedHammer	Dominion
266951	0	6	430	-1	20	-1	Crusader_BlessedShield	No Rune
266951	1	2	430	-1	20	-1	Crusader_BlessedShield	Staggering Shield
266951	2	1	430	-1	20	-1	Crusader_BlessedShield	Combust
266951	3	0	430	-1	20	-1	Crusader_BlessedShield	Divine Aegis
266951	4	6	430	-1	20	-1	Crusader_BlessedShield	Shattering Throw
266951	5	6	430	-1	20	-1	Crusader_BlessedShield	Piercing Shield
284876	0	0	570	-1	-1	60	Crusader_Bombardment	No Rune
284876	1	0	570	-1	-1	60	Crusader_Bombardment	Barrels of Tar
284876	2	1	570	-1	-1	60	Crusader_Bombardment	Annihilate
284876	3	1	570	-1	-1	60	Crusader_Bombardment	Mine Field
284876	4	0	3320	-1	-1	60	Crusader_Bombardment	Impactful Bombardment
284876	5	6	570	-1	-1	60	Crusader_Bombardment	Targeted
266627	0	6	1160	-1	-1	15	Crusader_Condemn	No Rune
266627	1	1	1160	-1	-1	15	Crusader_Condemn	Reciprocate
266627	2	6	1160	-1	-1	15	Crusader_Condemn	Vacuum
266627	3	6	1160	-1	-1	15	Crusader_Condemn	Eternal Retaliation
266627	4	0	1160	-1	-1	15	Crusader_Condemn	Shattering Explosion
266627	5	6	1160	-1	-1	15	Crusader_Condemn	Unleashed
273941	0	-1	-1	-1	-1	30	Crusader_Consecration	No Rune
273941	1	-1	-1	-1	-1	30	Crusader_Consecration	Aegis Purgatory
273941	2	-1	-1	-1	-1	30	Crusader_Consecration	Bed of Nails
273941	3	-1	-1	-1	-1	30	Crusader_Consecration	Bathed in Light
273941	4	1	155	10	-1	30	Crusader_Consecration	Shattered Ground
273941	5	-1	-1	-1	-1	30	Crusader_Consecration	Fearful
239137	0	0	1700	-1	25	30	Crusader_FallingSword	No Rune
239137	1	1	1700	-1	25	30	Crusader_FallingSword	Superheated
239137	2	2	1700	-1	25	30	Crusader_FallingSword	Part the Clouds
239137	3	0	1700	-1	25	30	Crusader_FallingSword	Rise Brothers
239137	4	2	1700	-1	25	30	Crusader_FallingSword	Rapid Descent
239137	5	6	1700	-1	25	30	Crusader_FallingSword	Flurry
239218	0	2	545	-1	30	-1	Crusader_FistOfTheHeavens	No Rune
239218	1	1	545	-1	30	-1	Crusader_FistOfTheHeavens	Heaven's Tempest
239218	2	2	545	-1	30	-1	Crusader_FistOfTheHeavens	Reverberation
239218	3	2	545	-1	30	-1	Crusader_FistOfTheHeavens	Fissure
239218	4	6	545	-1	30	-1	Crusader_FistOfTheHeavens	Divine Well
239218	5	6	270	-1	30	-1	Crusader_FistOfTheHeavens	Retribution
316014	0	6	1710	6	-1	20	Crusader_HeavensFury3	No Rune
316014	1	6	2766	6	-1	20	Crusader_HeavensFury3	Ascendancy
316014	2	6	1710	6	-1	20	Crusader_HeavensFury3	Blessed Ground
316014	3	6	1980	6	-1	20	Crusader_HeavensFury3	Split Fury
316014	4	2	1710	6	-1	20	Crusader_HeavensFury3	Thou Shalt Not Pass
316014	5	6	960	-1	-1	20	Crusader_HeavensFury3	Fires of Heaven
291804	0	-1	-1	-1	-1	30	Crusader_IronSkin	No Rune
291804	1	-1	-1	-1	-1	30	Crusader_IronSkin	Charged Up
291804	2	-1	-1	-1	-1	30	Crusader_IronSkin	Steel Skin
291804	3	0	1050	-1	-1	30	Crusader_IronSkin	Explosive Skin
291804	4	0	200	-1	-1	30	Crusader_IronSkin	Reflective Skin
291804	5	-1	-1	-1	-1	30	Crusader_IronSkin	Flash
267600	0	-1	-1	-1	-1	20	Crusader_Judgment	No Rune
267600	1	-1	-1	-1	-1	20	Crusader_Judgment	Penitence
267600	2	-1	-1	-1	-1	20	Crusader_Judgment	Mass Verdict
267600	3	-1	-1	-1	-1	20	Crusader_Judgment	Deliberation
267600	4	-1	-1	-1	-1	20	Crusader_Judgment	Resolved
267600	5	0	100	-1	-1	20	Crusader_Judgment	Conversion
325216	0	6	245	-1	-1	-1	Crusader_Justice	No Rune
325216	1	0	245	-1	-1	-1	Crusader_Justice	Sword of Justice
325216	2	6	245	-1	-1	-1	Crusader_Justice	Crack
325216	3	0	335	-1	-1	-1	Crusader_Justice	Hammer of Pursuit
325216	4	2	245	-1	-1	-1	Crusader_Justice	Burst
325216	5	6	245	-1	-1	-1	Crusader_Justice	Holy Bolt
342279	0	-1	-1	-1	-1	30	Crusader_LawsOfHope2	No Rune
342279	1	-1	-1	-1	-1	30	Crusader_LawsOfHope2	Wings of Angels
342279	2	-1	-1	-1	-1	30	Crusader_LawsOfHope2	Eternal Hope
342279	3	-1	-1	-1	-1	30	Crusader_LawsOfHope2	Hopeful Cry
342279	4	-1	-1	-1	-1	30	Crusader_LawsOfHope2	Faith's Reward
342279	5	-1	-1	-1	-1	30	Crusader_LawsOfHope2	Promise of Faith
342280	0	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	No Rune
342280	1	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	Protect the Innocent
342280	2	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	Immovable Object
342280	3	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	Faith's Armor
342280	4	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	Decaying Strength
342280	5	-1	-1	-1	-1	30	Crusader_LawsOfJustice2	Bravery
342281	0	-1	-1	-1	-1	30	Crusader_LawsOfValor2	No Rune
342281	1	-1	-1	-1	-1	30	Crusader_LawsOfValor2	Invincible
342281	2	-1	-1	-1	-1	30	Crusader_LawsOfValor2	Frozen in Terror
342281	3	-1	-1	-1	-1	30	Crusader_LawsOfValor2	Critical
342281	4	-1	-1	-1	-1	30	Crusader_LawsOfValor2	Unstoppable Force
342281	5	-1	-1	-1	-1	30	Crusader_LawsOfValor2	Answered Prayer
330729	0	0	490	-1	30	-1	Crusader_Phalanx3	No Rune
330729	1	0	185	-1	-1	15	Crusader_Phalanx3	Bowmen
330729	2	0	490	-1	30	-1	Crusader_Phalanx3	Shield Charge
330729	3	0	490	-1	30	-1	Crusader_Phalanx3	Stampede
330729	4	0	490	-1	30	-1	Crusader_Phalanx3	Shield Bearers
330729	5	0	490	-1	30	-1	Crusader_Phalanx3	Bodyguard
290545	0	-1	-1	-1	-1	20	Crusader_Provoke	No Rune
290545	1	-1	-1	-1	-1	20	Crusader_Provoke	Cleanse
290545	2	-1	-1	-1	-1	20	Crusader_Provoke	Flee Fool
290545	3	-1	-1	-1	-1	20	Crusader_Provoke	Too Scared to Run
290545	4	-1	-1	-1	-1	20	Crusader_Provoke	Charged Up
290545	5	-1	-1	-1	-1	20	Crusader_Provoke	Hit Me
285903	0	0	335	-1	-1	-1	Crusader_Punish	No Rune
285903	1	6	335	-1	-1	-1	Crusader_Punish	Retaliate
285903	2	0	335	-1	-1	-1	Crusader_Punish	Celerity
285903	3	0	335	-1	-1	-1	Crusader_Punish	Rebirth
285903	4	1	335	-1	-1	-1	Crusader_Punish	Roar
285903	5	2	335	-1	-1	-1	Crusader_Punish	Fury
353492	0	6	370	-1	30	-1	Crusader_ShieldBash2	No Rune
353492	1	1	700	-1	30	-1	Crusader_ShieldBash2	Crumble
353492	2	6	370	-1	30	-1	Crusader_ShieldBash2	Shattered Shield
353492	3	0	370	-1	30	-1	Crusader_ShieldBash2	Shield Cross
353492	4	0	1320	-1	30	-1	Crusader_ShieldBash2	Pound
353492	5	2	370	-1	30	-1	Crusader_ShieldBash2	One on One
268530	0	-1	-1	-1	-1	12	Crusader_ShieldGlare	No Rune
268530	1	-1	-1	-1	-1	12	Crusader_ShieldGlare	Divine Verdict
268530	2	-1	-1	-1	-1	12	Crusader_ShieldGlare	Uncertainty
268530	3	0	-1	-1	-1	12	Crusader_ShieldGlare	Emblazoned Shield
268530	4	-1	-1	-1	-1	12	Crusader_ShieldGlare	Zealous Glare
268530	5	-1	-1	-1	-1	12	Crusader_ShieldGlare	Subdue
289243	0	1	230	-1	-1	-1	Crusader_Slash	No Rune
289243	1	6	230	-1	-1	-1	Crusader_Slash	Zeal
289243	2	2	230	-1	-1	-1	Crusader_Slash	Electrify
289243	3	1	230	-1	-1	-1	Crusader_Slash	Crush
289243	4	1	230	-1	-1	-1	Crusader_Slash	Carve
289243	5	1	230	-1	-1	-1	Crusader_Slash	Guard
286510	0	6	175	-1	-1	-1	Crusader_Smite	No Rune
286510	1	2	175	-1	-1	-1	Crusader_Smite	Shared Fate
286510	2	6	175	-1	-1	-1	Crusader_Smite	Shackle
286510	3	6	175	-1	-1	-1	Crusader_Smite	Shatter
286510	4	6	175	-1	-1	-1	Crusader_Smite	Reaping
286510	5	6	175	-1	-1	-1	Crusader_Smite	Surge
243853	0	-1	-1	-1	-1	16	Crusader_SteedCharge	No Rune
243853	1	0	515	-1	-1	16	Crusader_SteedCharge	Spiked Barding
243853	2	-1	-1	-1	-1	16	Crusader_SteedCharge	Endurance
243853	3	-1	-1	-1	-1	16	Crusader_SteedCharge	Rejuvenation
243853	4	1	550	-1	-1	16	Crusader_SteedCharge	Nightmare
243853	5	6	185	-1	-1	16	Crusader_SteedCharge	Draw and Quarter
239042	0	0	480	-1	20	-1	Crusader_SweepAttack	No Rune
239042	1	6	480	-1	20	-1	Crusader_SweepAttack	Gathering Sweep
239042	2	1	480	-1	20	-1	Crusader_SweepAttack	Blazing Sweep
239042	3	0	480	-1	20	-1	Crusader_SweepAttack	Holy Shock
239042	4	2	480	-1	20	-1	Crusader_SweepAttack	Trip Attack
239042	5	3	480	-1	20	-1	Crusader_SweepAttack	Frozen Sweep
77552	0	1	160	-1	-1	-1	DemonHunter_Bolas	No Rune
77552	1	1	160	-1	-1	-1	DemonHunter_Bolas	Volatile Explosives
77552	2	3	160	-1	-1	-1	DemonHunter_Bolas	Freezing Strike
77552	3	2	160	-1	-1	-1	DemonHunter_Bolas	Thunder Ball
77552	4	2	160	-1	-1	-1	DemonHunter_Bolas	Bitter Pill
77552	5	1	216	-1	-1	-1	DemonHunter_Bolas	Imminent Doom
129216	0	-1	-1	-1	-6	-1	DemonHunter_Caltrops	No Rune
129216	1	0	270	6	-6	-1	DemonHunter_Caltrops	Jagged Spikes
129216	2	-1	-1	-1	-6	-1	DemonHunter_Caltrops	Hooked Spines
129216	3	-1	-1	-1	-6	-1	DemonHunter_Caltrops	Torturous Ground
129216	4	-1	-1	-1	-6	-1	DemonHunter_Caltrops	Carved Stakes
129216	5	-1	-1	-1	-6	-1	DemonHunter_Caltrops	Bait the Trap
129213	0	0	380	-1	10	-1	DemonHunter_Chakram	No Rune
129213	1	1	220	-1	10	-1	DemonHunter_Chakram	Twin Chakrams
129213	2	2	400	-1	10	-1	DemonHunter_Chakram	Boomerang
129213	3	3	500	-1	10	-1	DemonHunter_Chakram	Serpentine
129213	4	0	380	-1	10	-1	DemonHunter_Chakram	Razor Disk
129213	5	0	200	-1	10	-1	DemonHunter_Chakram	Shuriken Cloud
129214	0	1	550	-1	40	-1	DemonHunter_ClusterArrow	No Rune
129214	1	1	770	-1	40	-1	DemonHunter_ClusterArrow	Loaded for Bear
129214	2	0	600	-1	40	-1	DemonHunter_ClusterArrow	Shooting Stars
129214	3	1	525	-1	40	-1	DemonHunter_ClusterArrow	Cluster Bombs
129214	4	3	450	-1	40	-1	DemonHunter_ClusterArrow	Maelstrom
129214	5	2	550	-1	40	-1	DemonHunter_ClusterArrow	Dazzling Arrow
131325	0	1	330	-1	10	-1	DemonHunter_ElementalArrow	No Rune
131325	1	3	330	-1	10	-1	DemonHunter_ElementalArrow	Frost Arrow
131325	2	2	300	-1	10	-1	DemonHunter_ElementalArrow	Ball Lightning
131325	3	1	300	-1	10	-1	DemonHunter_ElementalArrow	Immolation Arrow
131325	4	0	300	-1	10	-1	DemonHunter_ElementalArrow	Nether Tentacles
131325	5	2	300	-1	10	-1	DemonHunter_ElementalArrow	Lightning Bolts
77546	0	0	620	-1	-1	10	DemonHunter_FanOfKnives	No Rune
77546	1	0	620	-1	30	10	DemonHunter_FanOfKnives	Knives Expert
77546	2	0	620	-1	-1	10	DemonHunter_FanOfKnives	Assassin's Knives
77546	3	1	620	-1	-1	10	DemonHunter_FanOfKnives	Fan of Daggers
77546	4	2	1600	-1	-1	10	DemonHunter_FanOfKnives	Pinpoint Accuracy
77546	5	3	620	-1	-1	10	DemonHunter_FanOfKnives	Bladed Armor
86610	0	1	160	-1	-1	-1	DemonHunter_Grenades	No Rune
86610	1	3	160	-1	-1	-1	DemonHunter_Grenades	Cold Grenade
86610	2	1	200	-1	-1	-1	DemonHunter_Grenades	Cluster Grenades
86610	3	1	160	-1	-1	-1	DemonHunter_Grenades	Grenade Cache
86610	4	1	160	-1	-1	-1	DemonHunter_Grenades	Tinkerer
86610	5	2	160	-1	-1	-1	DemonHunter_Grenades	Stun Grenade
129215	0	0	155	-1	-1	-1	DemonHunter_HungeringArrow	No Rune
129215	1	1	155	-1	-1	-1	DemonHunter_HungeringArrow	Serrated Arrow
129215	2	2	155	-1	-1	-1	DemonHunter_HungeringArrow	Shatter Shot
129215	3	3	155	-1	-1	-1	DemonHunter_HungeringArrow	Devouring Arrow
129215	4	0	155	-1	-1	-1	DemonHunter_HungeringArrow	Puncturing Arrow
129215	5	0	155	-1	-1	-1	DemonHunter_HungeringArrow	Spray of Teeth
131366	0	0	750	-1	20	-1	DemonHunter_Impale	No Rune
131366	1	3	750	-1	20	-1	DemonHunter_Impale	Overpenetration
131366	2	0	750	-1	20	-1	DemonHunter_Impale	Impact
131366	3	1	750	-1	20	-1	DemonHunter_Impale	Chemical Burn
131366	4	2	750	-1	20	-1	DemonHunter_Impale	Ricochet
131366	5	0	750	-1	20	-1	DemonHunter_Impale	Grievous Wounds
130738	0	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	No Rune
130738	1	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	Grim Reaper
130738	2	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	Contagion
130738	3	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	Valley of Death
130738	4	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	Mortal Enemy
130738	5	-1	-1	-1	-3	-1	DemonHunter_MarkedForDeath	Death Toll
77649	0	0	360	-1	25	-1	DemonHunter_Multishot	No Rune
77649	1	0	460	-1	25	-1	DemonHunter_Multishot	Full Broadside
77649	2	3	200	-1	25	-1	DemonHunter_Multishot	Burst Fire
77649	3	1	360	-1	25	-1	DemonHunter_Multishot	Arsenal
77649	4	2	360	-1	18	-1	DemonHunter_Multishot	Fire at Will
77649	5	0	360	-1	25	-1	DemonHunter_Multishot	Suppression Fire
129212	0	0	-1	-1	-1	45	DemonHunter_Preparation	No Rune
129212	1	0	-1	-1	-25	45	DemonHunter_Preparation	Punishment
129212	2	0	-1	-1	-1	45	DemonHunter_Preparation	Invigoration
129212	3	0	-1	-1	-1	45	DemonHunter_Preparation	Focused Mind
129212	4	0	-1	-1	-1	45	DemonHunter_Preparation	Battle Scars
129212	5	0	-1	-1	-1	45	DemonHunter_Preparation	Backup Plan
130831	0	0	1500	5	-1	30	DemonHunter_RainOfVengeance	No Rune
130831	1	2	2800	5	-1	30	DemonHunter_RainOfVengeance	Shade
130831	2	0	3500	8	-1	30	DemonHunter_RainOfVengeance	Dark Cloud
130831	3	1	5800	2	-1	30	DemonHunter_RainOfVengeance	Anathema
130831	4	3	3800	4	-1	30	DemonHunter_RainOfVengeance	Flying Strike
130831	5	1	4600	3	-1	30	DemonHunter_RainOfVengeance	Stampede
131192	0	0	685	-1	20	-1	DemonHunter_RapidFire	No Rune
131192	1	1	545	-1	20	-1	DemonHunter_RapidFire	Bombardment
131192	2	2	685	-1	20	-1	DemonHunter_RapidFire	High Velocity
131192	3	0	685	-1	20	-1	DemonHunter_RapidFire	Fire Support
131192	4	1	685	-1	10	-1	DemonHunter_RapidFire	Withering Fire
131192	5	3	685	-1	20	-1	DemonHunter_RapidFire	Frost Shots
129217	0	0	280	-1	20	-1	DemonHunter_Sentry	No Rune
129217	1	0	240	-1	20	-1	DemonHunter_Sentry	Chain of Torment
129217	2	2	300	-1	20	-1	DemonHunter_Sentry	Impaling Bolt
129217	3	1	280	-1	20	-1	DemonHunter_Sentry	Spitfire Turret
129217	4	3	280	-1	20	-1	DemonHunter_Sentry	Polar Station
129217	5	0	280	-1	20	-1	DemonHunter_Sentry	Guardian Turret
130830	0	-1	-1	-1	-14	-1	DemonHunter_ShadowPower	No Rune
130830	1	-1	-1	-1	-14	-1	DemonHunter_ShadowPower	Night Bane
